Station Number,WBAN,Day,Mean Dew Point,Mean Sea Level Pressure,Mean Station Pressure,Mean Visibility,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust,Maximum Temperature,Minimum Temperature,Precipitation Amount,Snow Depth,Fog,Rain or Drizzle,Snow or Ice Pellet,Hail,Thunder,Tornado,Temperature
226950,99999,20130101,-4.0,1018.9,1002.3,8.5,5.6,5.8,,7.5,-4.9,0.02 ,14.2,,,y,,,,-1.9
226950,99999,20130102,-4.8,1016.4,999.8,8.4,8.0,9.7,,6.4,-8.3,0.00 ,14.6,,,y,,,,-2.3
226950,99999,20130103,16.7,1002.8,987.2,6.4,6.3,7.8,,27.0,1.4,0.24 ,15.0,,,y,,,,18.3
226950,99999,20130104,25.4,1003.7,988.2,9.6,4.4,7.8,,29.1,22.3,0.00 ,15.0,,,y,,,,26.4
226950,99999,20130105,14.5,1007.7,991.9,4.7,5.6,7.8,,21.0,9.1,0.08 ,15.4,,,y,,,,15.9
226950,99999,20130106,-4.5,1019.1,1002.5,8.7,1.9,7.8,,5.0,-8.5,0.03 ,15.4,,,y,,,,-1.3
226950,99999,20130107,-10.1,1025.1,1008.2,4.8,0.5,1.9,,-4.2,-11.6,0.00 ,15.7,,,y,,,,-6.4
226950,99999,20130108,-12.0,1021.4,1004.6,9.9,2.9,3.9,,-3.1,-12.1,0.02 ,16.1,,,y,,,,-7.6
226950,99999,20130109,-6.7,1016.0,999.4,7.3,4.9,5.8,,0.3,-12.3,0.05 ,16.1,,,y,,,,-2.6
226950,99999,20130110,-8.6,1016.4,999.7,6.2,4.4,5.8,,-0.2,-9.4,0.02 ,16.1,,,y,,,,-4.0
226950,99999,20130111,-9.7,1017.5,1000.8,7.0,2.2,5.8,,4.6,-10.7,0.01 ,16.9,,,y,,,,-5.2
226950,99999,20130112,15.1,1001.1,985.4,6.4,10.9,17.5,,24.8,-5.1,0.07 ,16.9,,,y,,,,17.4
226950,99999,20130113,17.4,999.5,983.9,9.6,9.5,13.6,,23.2,16.3,0.12 ,19.3,,,y,,,,19.7
226950,99999,20130114,11.8,997.8,982.0,9.8,11.7,13.6,,21.4,4.6,0.10 ,18.5,,,y,,,,15.8
226950,99999,20130115,-3.1,1008.2,992.0,9.2,7.3,9.7,,5.4,-1.5,0.02 ,19.3,,,y,,,,1.5
226950,99999,20130116,-13.9,1020.4,1003.5,11.7,4.9,7.8,,-4.5,-13.5,0.02 ,18.5,,,y,,,,-9.4
226950,99999,20130117,0.7,1020.0,1003.6,6.7,8.7,15.5,,10.9,-14.1,0.03 ,18.5,,,y,,,,4.6
226950,99999,20130118,0.3,1012.2,995.9,12.3,7.0,11.7,,11.5,-3.5,0.12 ,20.9,,,y,,,,4.7
226950,99999,20130119,-0.3,1002.5,986.5,11.2,6.8,9.7,,12.6,-3.6,0.01 ,19.3,,,y,,,,8.0
226950,99999,20130120,1.3,1000.7,984.5,5.0,5.6,9.7,,8.4,4.5,0.16 ,20.5,,,y,,,,6.0
226950,99999,20130121,-11.4,1004.6,988.0,13.8,2.2,3.9,,1.4,-20.7,0.08 ,20.9,,,y,,,,-7.2
226950,99999,20130122,-19.5,998.7,982.0,6.8,3.2,3.9,,-7.1,-23.1,0.02 ,21.3,,,y,,,,-14.6
226950,99999,20130123,-3.0,993.9,977.8,8.5,2.2,3.9,,5.7,-9.6,0.04 ,21.7,,,y,,,,0.7
226950,99999,20130124,-9.1,998.9,982.5,10.4,2.7,3.9,,-0.2,-11.0,0.00 ,22.4,,,y,,,,-4.8
226950,99999,20130125,-13.7,1003.3,986.7,10.1,3.4,3.9,,-0.9,-22.4,0.00 ,22.4,,,y,,,,-9.4
226950,99999,20130126,-22.7,1012.2,995.1,15.5,1.0,1.9,,-14.3,-22.7,0.00 ,22.0,,,y,,,,-18.4
226950,99999,20130127,-19.3,1014.9,997.9,15.1,3.9,5.8,,-2.4,-24.0,0.00 ,22.0,,,y,,,,-15.0
226950,99999,20130128,8.7,1008.4,992.4,3.0,6.6,7.8,,15.1,-11.6,0.16 ,22.4,,,y,,,,11.1
226950,99999,20130129,13.5,1010.3,994.5,9.6,5.1,7.8,,19.6,10.4,0.08 ,26.0,,,y,,,,15.6
226950,99999,20130130,18.5,1011.1,995.4,10.4,6.1,7.8,,21.6,17.1,0.02 ,24.0,,,y,,,,20.1
226950,99999,20130131,19.6,1009.7,994.0,12.4,6.8,9.7,,24.8,17.2,0.01 ,24.4,,,,,,,21.6
226950,99999,20130201,15.3,1007.6,992.0,19.4,6.8,7.8,,25.7,15.8,0.00 ,23.6,,,,,,,20.2
226950,99999,20130202,15.9,1009.4,993.6,8.9,6.8,7.8,,20.1,14.9,0.01 ,23.6,,,y,,,,18.1
226950,99999,20130203,19.8,1014.4,998.7,9.3,5.3,7.8,,22.3,18.9,0.00 ,22.4,,,y,,,,21.3
226950,99999,20130204,23.4,1008.3,992.8,7.3,11.1,13.6,,27.5,21.2,0.08 ,22.4,,,y,,,,25.3
226950,99999,20130205,26.4,999.6,984.3,8.9,11.2,13.6,,29.3,26.8,0.05 ,22.4,,,y,,,,28.1
226950,99999,20130206,18.2,1005.4,989.8,5.3,7.5,9.7,,25.5,16.7,0.03 ,22.4,,,y,,,,20.9
226950,99999,20130207,23.0,1017.9,1002.2,6.8,4.1,7.8,,28.6,16.7,0.04 ,22.8,,,y,,,,24.5
226950,99999,20130208,27.4,1024.9,1009.2,6.8,3.6,5.8,,31.3,26.6,0.02 ,23.2,,,y,,,,28.3
226950,99999,20130209,,1027.0,1011.3,6.9,2.5,3.9,,28.2,8.4,0.04,23.6,,,y,,,,24.4
226950,99999,20130210,24.1,1028.0,1012.3,11.2,7.3,11.7,,25.9,23.2,0.12 ,25.2,,,y,,,,25.0
226950,99999,20130211,24.0,1025.9,1010.1,7.5,5.3,9.7,,27.3,22.5,0.12 ,25.2,,,y,,,,24.9
226950,99999,20130212,28.0,1028.2,1012.5,8.9,5.3,7.8,,31.3,25.5,0.04 ,25.2,,,y,,,,28.8
226950,99999,20130213,20.7,1038.7,1022.7,12.4,5.3,7.8,,28.8,21.2,0.00 ,25.2,,,,,,,23.6
226950,99999,20130214,15.6,1040.5,1024.2,9.8,3.2,5.8,,19.4,13.6,0.00 ,25.2,,,,,,,16.7
226950,99999,20130215,18.0,1033.8,1017.7,11.7,3.2,5.8,,21.6,16.3,0.00 ,24.8,,,y,,,,19.0
226950,99999,20130216,12.5,1028.6,1012.3,7.0,3.6,5.8,,16.3,12.6,0.00 ,24.4,,,y,,,,13.6
226950,99999,20130217,5.7,1024.6,1008.2,12.4,1.2,3.9,,12.6,-3.8,0.02 ,24.8,,,y,,,,8.4
226950,99999,20130218,1.8,1022.6,1006.2,10.1,2.4,5.8,,11.3,-4.7,0.00 ,24.8,,,y,,,,4.9
226950,99999,20130219,5.1,1021.2,1004.9,10.1,4.4,7.8,,12.2,3.2,0.00 ,25.2,,,y,,,,7.9
226950,99999,20130220,9.3,1025.3,1009.1,13.2,5.8,9.7,,16.9,4.6,0.00 ,25.2,,,y,,,,11.4
226950,99999,20130221,11.7,1018.2,1002.2,12.7,6.3,9.7,,17.1,10.8,0.00 ,25.2,,,y,,,,14.3
226950,99999,20130222,8.3,1011.2,995.3,7.5,8.3,13.6,,17.4,4.3,0.20 ,26.4,,,y,,,,12.5
226950,99999,20130223,5.2,1012.4,996.3,12.4,8.7,13.6,,16.0,2.8,0.08 ,25.6,,,y,,,,8.9
226950,99999,20130224,3.2,1015.6,999.4,17.4,4.4,9.7,,17.8,-6.5,0.08 ,27.2,,,y,,,,7.7
226950,99999,20130225,13.4,1019.3,1003.3,12.4,8.3,13.6,,20.5,12.0,0.08 ,27.6,,,,,,,17.6
226950,99999,20130226,22.8,1002.1,986.7,7.1,14.6,31.1,,29.5,13.6,0.02 ,27.6,,,y,,,,25.1
226950,99999,20130227,-5.8,1008.2,991.9,18.6,10.0,15.5,,7.2,-6.0,0.12 ,23.6,,,y,,,,1.8
226950,99999,20130228,-19.1,1004.4,987.7,24.1,2.7,3.9,,1.6,-22.7,0.00 ,24.0,,,,,,,-11.3
226950,99999,20130301,-11.5,1000.6,984.2,17.4,2.7,5.8,,5.0,-15.9,0.00 ,24.4,,,y,,,,-5.3
226950,99999,20130302,-3.7,998.9,982.8,10.2,5.3,7.8,,12.7,-8.7,0.02 ,24.0,,,y,,,,1.4
226950,99999,20130303,-17.2,1009.5,992.7,13.3,3.9,5.8,,3.2,-23.4,0.03 ,24.0,,,y,,,,-11.4
226950,99999,20130304,-19.3,1021.5,1004.4,24.1,2.2,5.8,,2.3,-26.1,0.00 ,24.0,,,,,,,-13.0
226950,99999,20130305,-17.7,1022.8,1005.9,26.4,3.9,7.8,,8.6,-27.2,0.00 ,24.0,,,,,,,-8.3
226950,99999,20130306,-3.4,1008.6,992.4,9.9,7.8,15.5,,13.3,-4.7,0.00 ,24.0,,,y,,,,6.6
226950,99999,20130307,4.5,985.4,969.7,3.6,8.0,11.7,,14.4,4.8,0.08 ,24.4,,,y,,,,8.6
